datetime,open,close,high,low,volume,amount,symbol,trading_date,date,time
2020-12-31 13:40:00,8.83,8.86,8.87,8.83,239000.0,2116592.0,600410,2020-12-31,2020-12-31,13:40:00
2020-12-31 13:45:00,8.87,8.85,8.87,8.84,230300.0,2038256.0,600410,2020-12-31,2020-12-31,13:45:00
2020-12-31 13:50:00,8.85,8.85,8.86,8.84,146300.0,1294664.0,600410,2020-12-31,2020-12-31,13:50:00
2020-12-31 13:55:00,8.85,8.84,8.85,8.83,328400.0,2902144.0,600410,2020-12-31,2020-12-31,13:55:00
2020-12-31 14:00:00,8.84,8.85,8.85,8.84,189800.0,1678280.0,600410,2020-12-31,2020-12-31,14:00:00
2020-12-31 14:05:00,8.84,8.83,8.86,8.83,459500.0,4060184.0,600410,2020-12-31,2020-12-31,14:05:00
2020-12-31 14:10:00,8.83,8.83,8.84,8.82,260500.0,2299992.0,600410,2020-12-31,2020-12-31,14:10:00
2020-12-31 14:15:00,8.83,8.83,8.85,8.83,183400.0,1619968.0,600410,2020-12-31,2020-12-31,14:15:00
2020-12-31 14:20:00,8.83,8.85,8.85,8.83,277000.0,2447664.0,600410,2020-12-31,2020-12-31,14:20:00
2020-12-31 14:25:00,8.85,8.86,8.86,8.83,455400.0,4027568.0,600410,2020-12-31,2020-12-31,14:25:00
2020-12-31 14:30:00,8.85,8.85,8.87,8.84,395900.0,3504784.0,600410,2020-12-31,2020-12-31,14:30:00
2020-12-31 14:35:00,8.85,8.86,8.87,8.84,539600.0,4778512.0,600410,2020-12-31,2020-12-31,14:35:00
2020-12-31 14:40:00,8.85,8.87,8.87,8.85,422800.0,3745248.0,600410,2020-12-31,2020-12-31,14:40:00
2020-12-31 14:45:00,8.87,8.86,8.89,8.86,434800.0,3858288.0,600410,2020-12-31,2020-12-31,14:45:00
2020-12-31 14:50:00,8.87,8.87,8.88,8.85,581900.0,5155296.0,600410,2020-12-31,2020-12-31,14:50:00
2020-12-31 14:55:00,8.87,8.86,8.87,8.85,675400.0,5983152.0,600410,2020-12-31,2020-12-31,14:55:00
2021-01-04 09:30:00,8.89,8.85,8.91,8.84,710400.0,6304542.0,600410,2021-01-04,2021-01-04,09:30:00
2021-01-04 09:35:00,8.86,8.91,8.91,8.84,573700.0,5092153.0,600410,2021-01-04,2021-01-04,09:35:00
2021-01-04 09:40:00,8.91,8.91,8.94,8.9,564000.0,5033303.0,600410,2021-01-04,2021-01-04,09:40:00
2021-01-04 09:45:00,8.92,8.9,8.93,8.9,397200.0,3539360.0,600410,2021-01-04,2021-01-04,09:45:00
2021-01-04 09:50:00,8.91,8.91,8.91,8.89,361100.0,3213284.0,600410,2021-01-04,2021-01-04,09:50:00
2021-01-04 09:55:00,8.9,8.9,8.9,8.89,309200.0,2750386.0,600410,2021-01-04,2021-01-04,09:55:00
2021-01-04 10:00:00,8.9,8.89,8.9,8.88,241000.0,2143008.0,600410,2021-01-04,2021-01-04,10:00:00
2021-01-04 10:05:00,8.89,8.87,8.9,8.86,476100.0,4226678.0,600410,2021-01-04,2021-01-04,10:05:00
2021-01-04 10:10:00,8.87,8.88,8.88,8.86,292200.0,2591574.0,600410,2021-01-04,2021-01-04,10:10:00
2021-01-04 10:15:00,8.88,8.9,8.9,8.87,349300.0,3100832.0,600410,2021-01-04,2021-01-04,10:15:00
2021-01-04 10:20:00,8.89,8.89,8.91,8.88,240100.0,2135624.0,600410,2021-01-04,2021-01-04,10:20:00
2021-01-04 10:25:00,8.91,8.92,8.92,8.89,269100.0,2396952.0,600410,2021-01-04,2021-01-04,10:25:00
2021-01-04 10:30:00,8.92,8.91,8.92,8.9,202100.0,1802100.0,600410,2021-01-04,2021-01-04,10:30:00
2021-01-04 10:35:00,8.91,8.92,8.93,8.91,315500.0,2814184.0,600410,2021-01-04,2021-01-04,10:35:00
2021-01-04 10:40:00,8.92,8.99,8.99,8.91,1103100.0,9881132.0,600410,2021-01-04,2021-01-04,10:40:00
2021-01-04 10:45:00,8.99,8.96,8.99,8.96,373500.0,3351472.0,600410,2021-01-04,2021-01-04,10:45:00
2021-01-04 10:50:00,8.98,9.01,9.03,8.95,879300.0,7906504.0,600410,2021-01-04,2021-01-04,10:50:00
2021-01-04 10:55:00,9.02,9.01,9.02,8.98,587200.0,5288200.0,600410,2021-01-04,2021-01-04,10:55:00
2021-01-04 11:00:00,9.01,9.0,9.01,8.98,203500.0,1830608.0,600410,2021-01-04,2021-01-04,11:00:00
2021-01-04 11:05:00,9.0,8.98,9.0,8.98,163600.0,1470424.0,600410,2021-01-04,2021-01-04,11:05:00
2021-01-04 11:10:00,8.99,8.99,9.0,8.98,212000.0,1906000.0,600410,2021-01-04,2021-01-04,11:10:00
2021-01-04 11:15:00,8.99,8.98,9.0,8.97,245800.0,2208464.0,600410,2021-01-04,2021-01-04,11:15:00
2021-01-04 11:20:00,8.98,8.97,8.99,8.97,151600.0,1360832.0,600410,2021-01-04,2021-01-04,11:20:00
2021-01-04 11:25:00,8.97,9.0,9.0,8.97,139200.0,1250688.0,600410,2021-01-04,2021-01-04,11:25:00
2021-01-04 13:00:00,9.0,8.96,9.01,8.95,656000.0,5892704.0,600410,2021-01-04,2021-01-04,13:00:00
2021-01-04 13:05:00,8.96,8.94,8.98,8.93,428800.0,3838440.0,600410,2021-01-04,2021-01-04,13:05:00
2021-01-04 13:10:00,8.94,8.93,8.96,8.92,479200.0,4280944.0,600410,2021-01-04,2021-01-04,13:10:00
2021-01-04 13:15:00,8.93,8.93,8.95,8.93,382400.0,3416456.0,600410,2021-01-04,2021-01-04,13:15:00
2021-01-04 13:20:00,8.94,8.91,8.94,8.91,565400.0,5043896.0,600410,2021-01-04,2021-01-04,13:20:00
2021-01-04 13:25:00,8.91,8.91,8.93,8.91,178800.0,1594656.0,600410,2021-01-04,2021-01-04,13:25:00
2021-01-04 13:30:00,8.92,8.92,8.94,8.91,211100.0,1882792.0,600410,2021-01-04,2021-01-04,13:30:00
2021-01-04 13:35:00,8.92,8.91,8.92,8.91,130000.0,1159296.0,600410,2021-01-04,2021-01-04,13:35:00
2021-01-04 13:40:00,8.92,8.96,8.96,8.91,208800.0,1866136.0,600410,2021-01-04,2021-01-04,13:40:00
2021-01-04 13:45:00,8.96,8.95,8.96,8.94,187600.0,1678552.0,600410,2021-01-04,2021-01-04,13:45:00
2021-01-04 13:50:00,8.95,9.02,9.03,8.95,661100.0,5945720.0,600410,2021-01-04,2021-01-04,13:50:00
2021-01-04 13:55:00,9.02,9.0,9.02,8.99,722700.0,6508104.0,600410,2021-01-04,2021-01-04,13:55:00
2021-01-04 14:00:00,9.0,8.99,9.0,8.96,197800.0,1777760.0,600410,2021-01-04,2021-01-04,14:00:00
2021-01-04 14:05:00,8.98,9.0,9.0,8.97,149400.0,1343104.0,600410,2021-01-04,2021-01-04,14:05:00
2021-01-04 14:10:00,8.99,8.97,9.0,8.97,239600.0,2152304.0,600410,2021-01-04,2021-01-04,14:10:00
2021-01-04 14:15:00,8.98,8.97,8.99,8.97,187800.0,1685536.0,600410,2021-01-04,2021-01-04,14:15:00
2021-01-04 14:20:00,8.97,8.96,8.98,8.96,341800.0,3065088.0,600410,2021-01-04,2021-01-04,14:20:00
2021-01-04 14:25:00,8.96,8.96,8.97,8.95,352400.0,3155744.0,600410,2021-01-04,2021-01-04,14:25:00
2021-01-04 14:30:00,8.96,8.99,9.0,8.96,388000.0,3486960.0,600410,2021-01-04,2021-01-04,14:30:00
2021-01-04 14:35:00,8.98,8.97,9.0,8.97,471500.0,4237984.0,600410,2021-01-04,2021-01-04,14:35:00
