start,end,direction,height,high,low
2021-01-06 09:15:00,2021-01-11 22:45:00,-1,173.0,2446.0,2273.0
2021-01-11 22:45:00,2021-01-13 13:45:00,1,116.0,2389.0,2273.0
2021-01-13 13:45:00,2021-01-28 09:01:00,-1,160.0,2389.0,2229.0
2021-01-28 09:01:00,2021-02-08 09:01:00,1,128.0,2357.0,2229.0
2021-02-08 09:01:00,2021-02-10 15:00:00,-1,107.0,2357.0,2250.0
2021-02-10 15:00:00,2021-03-02 22:30:00,1,336.000244140625,2586.000244140625,2250.0
2021-03-02 22:30:00,2021-03-04 21:01:00,-1,106.000244140625,2586.000244140625,2480.0
2021-03-04 21:01:00,2021-03-08 09:01:00,1,190.000244140625,2670.000244140625,2480.0
2021-03-08 09:01:00,2021-03-19 14:15:00,-1,377.000244140625,2670.000244140625,2293.0
2021-03-19 14:15:00,2021-03-30 09:15:00,1,133.0,2426.0,2293.0
2021-03-30 09:15:00,2021-04-01 09:01:00,-1,82.0,2426.0,2344.0
2021-04-01 09:01:00,2021-04-06 22:15:00,1,121.0,2465.0,2344.0
2021-04-06 22:15:00,2021-04-12 14:00:00,-1,129.0,2465.0,2336.0
2021-04-12 14:00:00,2021-04-19 21:01:00,1,155.0,2491.0,2336.0
2021-04-19 21:01:00,2021-04-23 11:00:00,-1,119.0,2491.0,2372.0
2021-04-23 11:00:00,2021-05-13 09:30:00,1,480.000244140625,2852.000244140625,2372.0
2021-05-13 09:30:00,2021-05-21 10:00:00,-1,354.000244140625,2852.000244140625,2498.0
2021-05-21 10:00:00,2021-05-25 10:45:00,1,129.0,2627.0,2498.0
2021-05-25 10:45:00,2021-05-26 11:15:00,-1,77.0,2627.0,2550.0
2021-05-26 11:15:00,2021-05-26 15:00:00,1,145.0,2695.0,2550.0
2021-05-26 15:00:00,2021-05-31 21:01:00,-1,158.0,2695.0,2537.0
2021-05-31 21:01:00,2021-06-01 21:15:00,1,64.0,2601.0,2537.0
2021-06-01 21:15:00,2021-06-08 13:45:00,-1,181.0,2601.0,2420.0
2021-06-08 13:45:00,2021-06-16 10:00:00,1,121.0,2541.0,2420.0
2021-06-16 10:00:00,2021-06-21 21:01:00,-1,101.0,2541.0,2440.0
2021-06-21 21:01:00,2021-06-24 22:45:00,1,167.0,2607.0,2440.0
2021-06-24 22:45:00,2021-06-28 10:00:00,-1,78.0,2607.0,2529.0
2021-06-28 10:00:00,2021-07-06 11:30:00,1,139.0,2668.0,2529.0
2021-07-06 11:30:00,2021-07-08 10:45:00,-1,134.0,2668.0,2534.0
2021-07-08 10:45:00,2021-07-19 13:45:00,1,229.0,2763.0,2534.0
2021-07-19 13:45:00,2021-07-21 10:15:00,-1,85.0,2763.0,2678.0
2021-07-21 10:15:00,2021-07-22 09:45:00,1,109.0,2787.0,2678.0
2021-07-22 09:45:00,2021-07-27 22:45:00,-1,149.0,2787.0,2638.0
2021-07-27 22:45:00,2021-07-30 11:00:00,1,161.0,2799.0,2638.0
2021-07-30 11:00:00,2021-08-09 09:30:00,-1,188.0,2799.0,2611.0
2021-08-09 09:30:00,2021-08-18 09:01:00,1,235.0,2846.0,2611.0
2021-08-18 09:01:00,2021-08-20 22:00:00,-1,104.0,2846.0,2742.0
2021-08-20 22:00:00,2021-08-23 21:30:00,1,158.0,2900.0,2742.0
2021-08-23 21:30:00,2021-08-31 22:30:00,-1,161.0,2900.0,2739.0
2021-08-31 22:30:00,2021-09-09 10:15:00,1,357.0,3096.0,2739.0
2021-09-09 10:15:00,2021-09-10 15:00:00,-1,109.0,3096.0,2987.0
2021-09-10 15:00:00,2021-09-13 09:01:00,1,132.0,3119.0,2987.0
2021-09-13 09:01:00,2021-09-14 22:15:00,-1,180.0,3119.0,2939.0
2021-09-14 22:15:00,2021-10-12 09:15:00,1,1253.0,4192.0,2939.0
