start,end,direction,height,high,low
2021-01-04 09:20:00,2021-01-04 09:30:00,1,13.0,2393.0,2380.0
2021-01-04 09:30:00,2021-01-04 09:43:00,-1,11.0,2393.0,2382.0
2021-01-04 09:43:00,2021-01-04 09:52:00,1,8.0,2390.0,2382.0
2021-01-04 09:52:00,2021-01-04 10:07:00,-1,15.0,2390.0,2375.0
2021-01-04 10:07:00,2021-01-04 10:56:00,1,22.0,2397.0,2375.0
2021-01-04 10:56:00,2021-01-04 11:08:00,-1,9.0,2397.0,2388.0
2021-01-04 11:08:00,2021-01-04 13:33:00,1,22.0,2410.0,2388.0
2021-01-04 13:33:00,2021-01-04 13:45:00,-1,9.0,2410.0,2401.0
2021-01-04 13:45:00,2021-01-04 14:15:00,1,24.0,2425.0,2401.0
2021-01-04 14:15:00,2021-01-04 21:02:00,-1,23.0,2425.0,2402.0
2021-01-04 21:02:00,2021-01-04 21:46:00,1,21.0,2423.0,2402.0
2021-01-04 21:46:00,2021-01-04 22:03:00,-1,5.0,2423.0,2418.0
2021-01-04 22:03:00,2021-01-04 22:35:00,1,14.0,2432.0,2418.0
2021-01-04 22:35:00,2021-01-05 09:05:00,-1,24.0,2432.0,2408.0
2021-01-05 09:05:00,2021-01-05 09:22:00,1,11.0,2419.0,2408.0
2021-01-05 09:22:00,2021-01-05 09:39:00,-1,9.0,2419.0,2410.0
2021-01-05 09:39:00,2021-01-05 10:00:00,1,14.0,2424.0,2410.0
2021-01-05 10:00:00,2021-01-05 10:45:00,-1,12.0,2424.0,2412.0
2021-01-05 10:45:00,2021-01-05 10:58:00,1,6.0,2418.0,2412.0
2021-01-05 10:58:00,2021-01-05 11:16:00,-1,17.0,2418.0,2401.0
2021-01-05 11:16:00,2021-01-05 13:58:00,1,23.0,2424.0,2401.0
2021-01-05 13:58:00,2021-01-05 14:17:00,-1,12.0,2424.0,2412.0
2021-01-05 14:17:00,2021-01-05 21:04:00,1,30.0,2442.0,2412.0
