start,end,direction,height,high,low
2021-01-04 09:30:00,2021-01-04 11:08:00,1,8.0,2390.0,2382.0
2021-01-04 13:33:00,2021-01-04 21:02:00,1,8.0,2410.0,2402.0
2021-01-04 21:46:00,2021-01-05 14:17:00,1,5.0,2423.0,2418.0
2021-01-05 21:04:00,2021-01-05 22:27:00,1,11.0,2438.0,2427.0
2021-01-06 10:57:00,2021-01-06 21:20:00,-1,9.0,2405.0,2396.0
2021-01-07 10:54:00,2021-01-07 13:47:00,1,9.0,2388.0,2379.0
2021-01-07 21:49:00,2021-01-08 09:48:00,-1,8.0,2367.0,2359.0
2021-01-08 13:56:00,2021-01-08 14:58:00,1,4.0,2326.0,2322.0
2021-01-08 21:23:00,2021-01-11 09:41:00,1,14.0,2347.0,2333.0
2021-01-12 10:55:00,2021-01-13 09:47:00,1,5.0,2345.0,2340.0
2021-01-13 14:22:00,2021-01-13 21:30:00,-1,9.0,2368.0,2359.0
2021-01-13 22:37:00,2021-01-14 09:42:00,-1,7.0,2347.0,2340.0
2021-01-14 13:55:00,2021-01-14 22:01:00,1,6.0,2333.0,2327.0
2021-01-15 10:00:00,2021-01-15 11:06:00,-1,15.0,2319.0,2304.0
2021-01-15 14:39:00,2021-01-18 09:01:00,1,15.0,2320.0,2305.0
2021-01-18 10:41:00,2021-01-18 13:58:00,1,3.0,2337.0,2334.0
2021-01-18 21:25:00,2021-01-19 09:06:00,-1,11.0,2351.0,2340.0
2021-01-19 09:52:00,2021-01-19 11:21:00,-1,5.0,2335.0,2330.0
2021-01-19 13:50:00,2021-01-20 11:12:00,-1,6.0,2313.0,2307.0
2021-01-20 13:36:00,2021-01-20 21:09:00,-1,8.0,2288.0,2280.0
2021-01-20 21:51:00,2021-01-21 09:49:00,1,4.0,2288.0,2284.0
2021-01-21 10:32:00,2021-01-21 14:26:00,1,9.0,2321.0,2312.0
2021-01-21 21:10:00,2021-01-22 11:01:00,1,8.0,2333.0,2325.0
2021-01-22 14:01:00,2021-01-25 09:37:00,-1,16.0,2335.0,2319.0
2021-01-25 10:31:00,2021-01-26 09:19:00,-1,6.0,2295.0,2289.0
2021-01-26 10:02:00,2021-01-26 14:02:00,-1,12.0,2288.0,2276.0
2021-01-26 14:57:00,2021-01-27 10:31:00,-1,13.0,2253.0,2240.0
2021-01-27 11:08:00,2021-01-27 13:58:00,1,3.0,2250.0,2247.0
2021-01-27 21:47:00,2021-01-27 22:22:00,-1,7.0,2251.0,2244.0
2021-01-28 21:41:00,2021-01-29 09:01:00,1,8.0,2268.0,2260.0
2021-01-29 09:26:00,2021-01-29 10:44:00,1,10.0,2288.0,2278.0
2021-01-29 13:51:00,2021-01-29 21:51:00,1,6.0,2312.0,2306.0
2021-02-01 09:39:00,2021-02-01 10:06:00,-1,8.0,2309.0,2301.0
2021-02-01 10:39:00,2021-02-02 09:01:00,-1,6.0,2299.0,2293.0
2021-02-02 10:46:00,2021-02-03 09:03:00,-1,4.0,2273.0,2269.0
2021-02-03 10:01:00,2021-02-03 10:59:00,-1,5.0,2248.0,2243.0
2021-02-03 21:16:00,2021-02-04 10:00:00,1,7.0,2290.0,2283.0
2021-02-04 10:34:00,2021-02-04 13:32:00,1,4.0,2298.0,2294.0
2021-02-04 14:31:00,2021-02-04 22:33:00,1,5.0,2317.0,2312.0
2021-02-05 09:57:00,2021-02-05 22:49:00,1,8.0,2330.0,2322.0
2021-02-08 13:41:00,2021-02-09 14:41:00,-1,9.0,2328.0,2319.0
2021-02-09 21:56:00,2021-02-09 22:49:00,-1,5.0,2289.0,2284.0
2021-02-10 10:58:00,2021-02-10 14:25:00,-1,11.0,2268.0,2257.0
2021-02-18 09:31:00,2021-02-18 14:14:00,1,16.0,2344.0,2328.0
2021-02-18 21:17:00,2021-02-18 22:03:00,1,7.0,2390.0,2383.0
2021-02-19 09:28:00,2021-02-19 09:59:00,-1,7.0,2361.0,2354.0
2021-02-19 14:17:00,2021-02-19 22:15:00,1,13.0,2393.0,2380.0
2021-02-22 09:10:00,2021-02-23 11:22:00,1,15.0,2443.0,2428.0
2021-02-23 21:11:00,2021-02-23 22:16:00,-1,10.0,2452.0,2442.0
2021-02-24 09:27:00,2021-02-24 14:16:00,1,8.0,2461.0,2453.0
2021-02-24 21:07:00,2021-02-24 22:35:00,1,9.0,2473.0,2464.0
