,date,open,close,high,low,volume,code
0,2014-01-02,2323.43,2321.98,2325.99,2310.65,45194291.0,sh000300
1,2014-01-03,2311.97,2290.78,2314.84,2280.89,59782645.0,sh000300
2,2014-01-06,2286.37,2238.64,2286.37,2229.33,66300403.0,sh000300
3,2014-01-07,2222.31,2238.0,2246.79,2218.65,43753103.0,sh000300
4,2014-01-08,2240.64,2241.91,2262.58,2228.42,51348854.0,sh000300
5,2014-01-09,2236.97,2222.22,2258.89,2220.8,55987041.0,sh000300
6,2014-01-10,2216.52,2204.85,2224.49,2200.22,54169293.0,sh000300
7,2014-01-13,2207.0,2193.68,2222.07,2183.6,50122772.0,sh000300
8,2014-01-14,2192.84,2212.85,2214.12,2179.91,54049947.0,sh000300
9,2014-01-15,2210.02,2208.94,2215.9,2193.8,48962395.0,sh000300
10,2014-01-16,2209.45,2211.84,2227.26,2201.56,52298902.0,sh000300
11,2014-01-17,2203.82,2178.49,2205.97,2175.88,50273155.0,sh000300
12,2014-01-20,2173.65,2165.99,2182.46,2156.46,40560154.0,sh000300
13,2014-01-21,2168.42,2187.41,2197.92,2168.42,40306247.0,sh000300
14,2014-01-22,2190.43,2243.8,2244.13,2187.53,70641375.0,sh000300
15,2014-01-23,2242.25,2231.89,2248.92,2228.06,56345951.0,sh000300
16,2014-01-24,2225.76,2245.68,2257.35,2222.89,61167670.0,sh000300
17,2014-01-27,2233.01,2215.92,2233.23,2211.8,70344246.0,sh000300
18,2014-01-28,2220.78,2219.85,2233.26,2205.97,53269130.0,sh000300
19,2014-01-29,2225.71,2227.78,2233.06,2219.93,50222717.0,sh000300
20,2014-01-30,2223.16,2202.45,2223.16,2200.22,43632304.0,sh000300
21,2014-02-07,2187.34,2212.48,2212.5,2177.12,50459315.0,sh000300
22,2014-02-10,2221.54,2267.53,2270.19,2221.54,83065716.0,sh000300
23,2014-02-11,2267.74,2285.56,2296.52,2262.6,99229829.0,sh000300
24,2014-02-12,2286.19,2291.25,2294.32,2276.44,76592161.0,sh000300
25,2014-02-13,2288.45,2279.55,2307.47,2278.26,96217789.0,sh000300
26,2014-02-14,2278.4,2295.57,2295.85,2274.43,67082997.0,sh000300
27,2014-02-17,2308.79,2311.65,2315.58,2293.55,87831666.0,sh000300
28,2014-02-18,2310.31,2282.44,2310.31,2276.11,87049743.0,sh000300
29,2014-02-19,2280.93,2308.66,2317.42,2274.15,99352561.0,sh000300
30,2014-02-20,2314.09,2287.44,2331.7,2286.2,106439533.0,sh000300
31,2014-02-21,2284.03,2264.29,2287.87,2250.65,76368993.0,sh000300
32,2014-02-24,2246.72,2214.51,2246.72,2194.16,89215939.0,sh000300
33,2014-02-25,2216.51,2157.91,2225.21,2150.09,93237551.0,sh000300
34,2014-02-26,2147.74,2163.41,2164.7,2137.08,77993297.0,sh000300
