datetime,direction,exchange,idx_price,offset,orderid,price,symbol,tradeid,volume,vt_orderid,vt_symbol,vt_tradeid
2020-11-25 09:37:40,多,SHFE,120230.0,开,1_-1276221296_1,120230.0,ni2012,81047,1,CTP.1_-1276221296_1,ni2012.SHFE,CTP.81047
2020-11-25 09:37:40,空,SHFE,120560.0,开,1_-1276221296_2,120560.0,ni2101,81048,1,CTP.1_-1276221296_2,ni2101.SHFE,CTP.81048
2020-11-25 09:37:40,多,SPD,-330.0,开,SpreadAlgoV2_3,-330.0,ni2012-1-ni2101-1-CJ,SpreadAlgoV2_3,1.0,CTP.SpreadAlgoV2_3,ni2012-1-ni2101-1-CJ.SPD,CTP.SpreadAlgoV2_3
2020-11-26 13:43:05,多,SHFE,118600.0,开,1_469632286_2,118600.0,ni2012,149333,1,CTP.1_469632286_2,ni2012.SHFE,CTP.149333
2020-11-26 13:43:05,空,SHFE,118860.0,开,1_469632286_3,118860.0,ni2101,149334,1,CTP.1_469632286_3,ni2101.SHFE,CTP.149334
2020-11-26 13:43:05,多,SPD,-260.0,开,SpreadAlgoV2_9,-260.0,ni2012-1-ni2101-1-CJ,SpreadAlgoV2_9,1.0,CTP.SpreadAlgoV2_9,ni2012-1-ni2101-1-CJ.SPD,CTP.SpreadAlgoV2_9
2020-11-26 14:19:03,空,SHFE,118360.0,平今,1_1203585063_1,118360.0,ni2012,170420,1,CTP.1_1203585063_1,ni2012.SHFE,CTP.170420
2020-11-26 14:19:03,多,SHFE,118610.0,平今,1_1203585063_2,118610.0,ni2101,170421,1,CTP.1_1203585063_2,ni2101.SHFE,CTP.170421
2020-11-26 14:19:03,空,SPD,-250.0,平,SpreadAlgoV2_2,-250.0,ni2012-1-ni2101-1-CJ,SpreadAlgoV2_2,1.0,CTP.SpreadAlgoV2_2,ni2012-1-ni2101-1-CJ.SPD,CTP.SpreadAlgoV2_2
2020-11-26 14:48:20,多,SHFE,119200.0,开,1_1237274230_1,119200.0,ni2012,189048,1,CTP.1_1237274230_1,ni2012.SHFE,CTP.189048
2020-11-26 14:48:20,空,SHFE,119520.0,开,1_1237274230_2,119520.0,ni2101,189049,1,CTP.1_1237274230_2,ni2101.SHFE,CTP.189049
2020-11-26 14:48:20,多,SPD,-320.0,开,SpreadAlgoV2_11,-320.0,ni2012-1-ni2101-1-CJ,SpreadAlgoV2_11,1.0,CTP.SpreadAlgoV2_11,ni2012-1-ni2101-1-CJ.SPD,CTP.SpreadAlgoV2_11
