INFO  [2021-09-24 14:20:43,440][gateway.py:194] 一共获取0个股票信息
INFO  [2021-09-24 14:20:48,565][gateway.py:194] REST API启动成功
INFO  [2021-09-24 14:20:48,566][gateway.py:194] 使用session配置登录成功
INFO  [2021-09-24 14:20:48,566][gateway.py:194] MARKET API启动成功
INFO  [2021-09-24 14:20:48,696][gateway.py:194] 账户资金查询成功
INFO  [2021-09-24 14:20:48,755][gateway.py:194] 本地order不存在，添加972029 <=> 972029
INFO  [2021-09-24 14:20:48,756][gateway.py:194] 本地order不存在，添加871207 <=> 871207
INFO  [2021-09-24 14:20:48,756][gateway.py:194] 本地order不存在，添加869603 <=> 869603
INFO  [2021-09-24 14:20:48,757][gateway.py:194] 本地order不存在，添加747847 <=> 747847
INFO  [2021-09-24 14:20:48,757][gateway.py:194] 本地order不存在，添加741718 <=> 741718
INFO  [2021-09-24 14:20:48,758][gateway.py:194] 本地order不存在，添加737956 <=> 737956
INFO  [2021-09-24 14:20:48,758][gateway.py:194] 本地order不存在，添加724942 <=> 724942
INFO  [2021-09-24 14:20:48,759][gateway.py:194] 本地order不存在，添加500158 <=> 500158
INFO  [2021-09-24 14:20:48,759][gateway.py:194] 本地order不存在，添加322402 <=> 322402
INFO  [2021-09-24 14:20:48,759][gateway.py:194] 本地order不存在，添加322331 <=> 322331
INFO  [2021-09-24 14:20:48,760][gateway.py:194] 本地order不存在，添加322326 <=> 322326
INFO  [2021-09-24 14:20:48,760][gateway.py:194] 委托信息查询成功
INFO  [2021-09-24 14:20:48,770][gateway.py:194] 成交信息查询成功
INFO  [2021-09-24 14:20:58,582][gateway.py:194] 账户资金查询成功
INFO  [2021-09-24 14:21:08,534][gateway.py:194] 委托信息查询成功
INFO  [2021-09-24 14:21:18,539][gateway.py:194] 成交信息查询成功
INFO  [2021-09-24 14:21:28,563][gateway.py:194] 账户资金查询成功
INFO  [2021-09-24 14:21:38,550][gateway.py:194] 委托信息查询成功
INFO  [2021-09-24 14:21:43,309][gateway.py:194] 添加tick订阅:516880.SSE
INFO  [2021-09-24 14:21:43,309][gateway.py:194] 添加tick订阅:159843.SZSE
INFO  [2021-09-24 14:21:43,309][gateway.py:194] 添加tick订阅:159870.SZSE
INFO  [2021-09-24 14:21:43,310][gateway.py:194] 添加tick订阅:600426.SSE
INFO  [2021-09-24 14:21:43,310][gateway.py:194] 添加tick订阅:501057.SSE
INFO  [2021-09-24 14:21:43,310][gateway.py:194] 添加tick订阅:002340.SZSE
INFO  [2021-09-24 14:21:43,311][gateway.py:194] 添加tick订阅:601899.SSE
INFO  [2021-09-24 14:21:48,724][gateway.py:194] 成交信息查询成功
INFO  [2021-09-24 14:21:58,742][gateway.py:194] 账户资金查询成功
INFO  [2021-09-24 14:22:08,728][gateway.py:194] 委托信息查询成功
