bar_name,datetime,name,signal,vt_symbol
M30,2021-10-19 14:30:00,上证180相对成长指数,中枢三买,000030.SSE
M30,2021-10-19 14:30:00,上证380红利指数,中枢三买,000150.SSE
M30,2021-10-19 14:30:00,上海机场,5分笔三买,600009.SSE
M30,2021-10-19 14:30:00,中远海能,11分笔类三买,600026.SSE
M30,2021-10-19 14:30:00,黄山旅游,5分笔三买,600054.SSE
M30,2021-10-19 14:30:00,林海股份,11分笔类三买,600099.SSE
M30,2021-10-19 14:30:00,金种子酒,11分笔类三买,600199.SSE
M30,2021-10-19 14:30:00,青海华鼎,中枢三买,600243.SSE
M30,2021-10-19 14:30:00,恒瑞医药,中枢三买,600276.SSE
M30,2021-10-19 14:30:00,羚锐制药,11分笔类三买,600285.SSE
M30,2021-10-19 14:30:00,宝钛股份,5分笔三买,600456.SSE
M30,2021-10-19 14:30:00,亨通光电,7分笔三买,600487.SSE
M30,2021-10-19 14:30:00,天士力,中枢三买,600535.SSE
M30,2021-10-19 14:30:00,江西长运,中枢三买,600561.SSE
M30,2021-10-19 14:30:00,大众交通,7分笔三买,600611.SSE
M30,2021-10-19 14:30:00,老凤祥,11分笔类三买,600612.SSE
