bar_name,datetime,name,signal,vt_symbol
M30,2021-10-19 14:30:00,上证180相对成长指数,中枢三买,000030.SSE
M30,2021-10-19 14:30:00,上证380红利指数,中枢三买,000150.SSE
M30,2021-10-19 14:30:00,上海机场,5分笔三买,600009.SSE
M30,2021-10-19 14:30:00,中远海能,11分笔类三买,600026.SSE
M30,2021-10-19 14:30:00,黄山旅游,5分笔三买,600054.SSE
M30,2021-10-19 14:30:00,林海股份,11分笔类三买,600099.SSE
M30,2021-10-19 14:30:00,金种子酒,11分笔类三买,600199.SSE
M30,2021-10-19 14:30:00,青海华鼎,中枢三买,600243.SSE
M30,2021-10-19 14:30:00,恒瑞医药,中枢三买,600276.SSE
M30,2021-10-19 14:30:00,羚锐制药,11分笔类三买,600285.SSE
M30,2021-10-19 14:30:00,宝钛股份,5分笔三买,600456.SSE
M30,2021-10-19 14:30:00,亨通光电,7分笔三买,600487.SSE
M30,2021-10-19 14:30:00,天士力,中枢三买,600535.SSE
M30,2021-10-19 14:30:00,江西长运,中枢三买,600561.SSE
M30,2021-10-19 14:30:00,大众交通,7分笔三买,600611.SSE
M30,2021-10-19 14:30:00,老凤祥,11分笔类三买,600612.SSE
M30,2021-10-19 14:30:00,福耀玻璃,5分笔三买,600660.SSE
M30,2021-10-19 14:30:00,均胜电子,5分笔三买,600699.SSE
M30,2021-10-19 14:30:00,首商股份,7分笔三买,600723.SSE
M30,2021-10-19 14:30:00,锦江酒店,5分笔三买,600754.SSE
M30,2021-10-19 14:30:00,鲁银投资,11分笔类三买,600784.SSE
M30,2021-10-19 14:30:00,人民同泰,5分笔三买,600829.SSE
M30,2021-10-19 14:30:00,宁波中百,5分笔三买,600857.SSE
M30,2021-10-19 14:30:00,亚泰集团,11分笔类三买,600881.SSE
M30,2021-10-19 14:30:00,福成股份,11分笔类三买,600965.SSE
M30,2021-10-19 14:30:00,航民股份,5分笔三买,600987.SSE
M30,2021-10-19 14:30:00,大秦铁路,5分笔三买,601006.SSE
M30,2021-10-19 14:30:00,玉龙股份,中枢三买,601028.SSE
M30,2021-10-19 14:30:00,三江购物,5分笔三买,601116.SSE
M30,2021-10-19 14:30:00,广汽集团,5分笔三买,601238.SSE
M30,2021-10-19 14:30:00,中国平安,7分笔三买,601318.SSE
M30,2021-10-19 14:30:00,百隆东方,5分笔三买,601339.SSE
M30,2021-10-19 14:30:00,工商银行,5分笔三买,601398.SSE
M30,2021-10-19 14:30:00,拓普集团,5分笔三买,601689.SSE
M30,2021-10-19 14:30:00,星宇股份,11分笔类三买,601799.SSE
M30,2021-10-19 14:30:00,中国中免,11分笔类三买,601888.SSE
M30,2021-10-19 14:30:00,玲珑轮胎,11分笔类三买,601966.SSE
M30,2021-10-19 14:30:00,联明股份,中枢三买,603006.SSE
M30,2021-10-19 14:30:00,中科曙光,中枢三买,603019.SSE
M30,2021-10-19 14:30:00,倍加洁,5分笔三买,603059.SSE
M30,2021-10-19 14:30:00,禾望电气,11分笔类三买,603063.SSE
M30,2021-10-19 14:30:00,长白山,11分笔类三买,603099.SSE
M30,2021-10-19 14:30:00,汇嘉时代,5分笔三买,603101.SSE
M30,2021-10-19 14:30:00,润达医疗,7分笔三买,603108.SSE
M30,2021-10-19 14:30:00,万林物流,中枢三买,603117.SSE
M30,2021-10-19 14:30:00,上海沪工,5分笔三买,603131.SSE
M30,2021-10-19 14:30:00,莎普爱思,11分笔类三买,603168.SSE
M30,2021-10-19 14:30:00,新泉股份,9分笔类三买,603179.SSE
M30,2021-10-19 14:30:00,赛腾股份,9分笔类三买,603283.SSE
M30,2021-10-19 14:30:00,华达科技,中枢三买,603358.SSE
M30,2021-10-19 14:30:00,惠发食品,11分笔类三买,603536.SSE
M30,2021-10-19 14:30:00,卫信康,中枢三买,603676.SSE
M30,2021-10-19 14:30:00,健友股份,11分笔类三买,603707.SSE
M30,2021-10-19 14:30:00,常青股份,11分笔类三买,603768.SSE
M30,2021-10-19 14:30:00,科博达,中枢三买,603786.SSE
M30,2021-10-19 14:30:00,吉祥航空,5分笔三买,603885.SSE
M30,2021-10-19 14:30:00,晨光文具,5分笔三买,603899.SSE
M30,2021-10-19 14:30:00,味知香,7分笔三买,605089.SSE
M30,2021-10-19 14:30:00,新中港,11分笔类三买,605162.SSE
M30,2021-10-19 14:30:00,华通线缆,5分笔三买,605196.SSE
M30,2021-10-19 14:30:00,佳禾食品,11分笔类三买,605300.SSE
M30,2021-10-19 14:30:00,均瑶健康,11分笔类三买,605388.SSE
M30,2021-10-19 14:30:00,容百科技,5分笔三买,688005.SSE
