id,code,date,open,high,low,close,volume
490887,sh000001,2021-07-20,3515.07,3538.64,3509.19,3536.79,29378100000.0
490692,sh000001,2021-07-19,3530.49,3544.88,3506.34,3539.12,33676100000.0
490757,sh000001,2021-07-19,3530.49,3544.88,3506.34,3539.12,33676100000.0
490822,sh000001,2021-07-19,3530.49,3544.88,3506.34,3539.12,33676100000.0
490627,sh000001,2021-07-16,3559.53,3566.0,3537.73,3539.3,36601500000.0
490562,sh000001,2021-07-15,3519.06,3565.93,3514.26,3564.59,36325900000.0
490497,sh000001,2021-07-14,3560.83,3560.83,3525.49,3528.5,37222200000.0
490432,sh000001,2021-07-13,3547.59,3567.48,3542.82,3566.52,36241700000.0
490237,sh000001,2021-07-12,3545.2,3565.03,3527.39,3547.84,40364000000.0
490302,sh000001,2021-07-12,3545.2,3565.03,3527.39,3547.84,40364000000.0
490367,sh000001,2021-07-12,3545.2,3565.03,3527.39,3547.84,40364000000.0
490172,sh000001,2021-07-09,3512.23,3529.31,3485.05,3524.09,34988400000.0
490107,sh000001,2021-07-08,3557.22,3558.68,3521.06,3525.5,35087800000.0
490042,sh000001,2021-07-07,3508.59,3557.88,3504.47,3553.72,31883900000.0
489977,sh000001,2021-07-06,3533.13,3538.35,3496.93,3530.26,31407000000.0
489912,sh000001,2021-07-05,3516.92,3534.32,3510.58,3534.32,28809500000.0
489847,sh000001,2021-07-02,3569.89,3569.89,3514.34,3518.76,29194600000.0
489782,sh000001,2021-07-01,3600.55,3607.7,3573.94,3588.78,29188300000.0
489717,sh000001,2021-06-30,3572.62,3594.12,3569.5,3591.2,26816300000.0
489652,sh000001,2021-06-29,3601.68,3601.83,3570.53,3573.18,30607100000.0
246164,sh000001,2021-06-28,3612.25,3614.36,3594.22,3606.37,32127500000.0
246165,sh000001,2021-06-25,3567.38,3614.3,3564.52,3607.56,34608800000.0
246166,sh000001,2021-06-24,3568.58,3570.49,3548.82,3566.65,33544100000.0
246167,sh000001,2021-06-23,3559.4,3577.47,3549.85,3566.22,31071000000.0
246168,sh000001,2021-06-22,3539.79,3560.19,3536.81,3557.41,30753600000.0
246169,sh000001,2021-06-21,3515.5,3540.3,3504.01,3529.18,28089800000.0
246170,sh000001,2021-06-18,3520.5,3535.62,3503.18,3525.1,29670900000.0
246171,sh000001,2021-06-17,3508.32,3534.2,3507.35,3525.6,27723000000.0
246172,sh000001,2021-06-16,3556.71,3561.09,3513.56,3518.33,31259700000.0
246173,sh000001,2021-06-15,3587.47,3592.95,3547.19,3556.56,34916900000.0
246174,sh000001,2021-06-11,3614.11,3614.4,3587.15,3589.75,36055500000.0
246175,sh000001,2021-06-10,3587.53,3624.34,3584.13,3610.86,31817500000.0
246176,sh000001,2021-06-09,3576.8,3598.71,3572.64,3591.4,29832300000.0
246177,sh000001,2021-06-08,3598.75,3621.52,3563.25,3580.11,30449100000.0
